Country,economy,Region,ВВП,Конечное потребление правительства,Конечное потребление,Валовое накопление капитала,Уровень безработицы,Чистый экспорт
Zimbabwe,ZWE,Sub-Saharan Africa,180.51170798941,14.0026471932619,169.944550670737,13.4507750257016,5.35099983215332,-2.883617722628803
Zambia,ZMB,Sub-Saharan Africa,181.106313583114,26.6437165083051,96.3363152185171,58.4849079540561,12.8479995727539,25.816420538483705
West Bank and Gaza,PSE,Middle East & North Africa,155.613,36.466,175.222,36.345,25.8899993896484,-54.527
Vietnam,VNM,East Asia & Pacific,2711.5844244853697,182.025722161605,2021.9749787407502,732.436239388704,2.39000010490417,77.15277424307007
Uzbekistan,UZB,Europe & Central Asia,599.299511143598,101.319029772978,449.767701979259,230.10850135752898,7.04099988937378,-80.57668045687299
United States,USA,North America,209530.3,30779.9,171255.55,44193.77,8.05000019073486,-6511.87
United Kingdom,GBR,Europe & Central Asia,27598.0406183707,6167.387962401131,23000.281712929103,4608.65634725302,4.47200012207031,36.65386604575073
Ukraine,UKR,Europe & Central Asia,1554.98989149587,299.626449040156,1455.32894370769,116.86024297505301,9.13199996948242,-16.369099508486023
Uganda,UGA,Sub-Saharan Africa,376.00368180939904,35.7632685807087,303.673370413829,91.0536144795434,2.76799988746643,-23.203545581760903
Turkey,TUR,Europe & Central Asia,7199.548216833101,1092.70256633381,5178.2505021398,2295.66470328103,13.1099996566772,-274.3669771754602
Tonga,TON,East Asia & Pacific,4.8882996407081905,1.16507337344704,6.00777152504221,1.21304618847669,3.62800002098084,-2.117143948375162
Togo,TGO,Sub-Saharan Africa,75.7463697866173,10.4574676937938,64.8975718658897,17.8856904094262,3.9449999332428,-7.036899785609801
Timor-Leste,TLS,East Asia & Pacific,19.021568,9.578997,20.403628,3.46512,4.90500020980835,-4.847181
Thailand,THA,East Asia & Pacific,5016.43653514925,888.49800439066,3541.84420506364,1197.96700294308,1.10000002384186,247.2829994535602
Tanzania,TZA,Sub-Saharan Africa,624.0970911095379,50.8701834098455,411.393990732587,255.993712526255,2.52800011634827,-6.323817883533401
Tajikistan,TJK,Europe & Central Asia,81.9415030178552,9.27929935380114,79.0012497699067,20.289869113244702,7.58300018310547,-17.3493252211318
Switzerland,CHE,Europe & Central Asia,7522.4804573011,893.043118736741,4727.76457159088,2133.14099821589,4.82000017166138,661.5748874943499
Sweden,SWE,Europe & Central Asia,5412.2005945925,1447.50626269549,3822.4092037915198,1341.91154301791,8.28999996185303,247.87984778306975
Sudan,SDN,Sub-Saharan Africa,213.291095218077,59.9097861429322,145.007352700998,68.0984107356805,19.6490001678467,0.18534898581187606
Sri Lanka,LKA,South Asia,806.76681933978,83.86589777825189,654.456823887375,203.590121314104,5.87799978256226,-51.28012585631102
Spain,ESP,Europe & Central Asia,12814.846400435801,2801.3387548482597,9974.52449238913,2651.53973515954,15.5299997329712,188.78217288716004
South Africa,ZAF,Sub-Saharan Africa,3354.42101366417,692.693653905742,2780.9417067154304,427.539570571902,29.2199993133545,148.57324197556412
Slovenia,SVN,Europe & Central Asia,535.896095807099,110.163272743424,379.29236284558897,107.166709829635,4.96999979019165,49.43701170991402
Slovak Republic,SVK,Europe & Central Asia,1051.72564491569,225.71896753681,838.4527429216209,203.529969184732,6.69000005722046,9.742932809338988
Singapore,SGP,East Asia & Pacific,3399.98477929985,422.130173226064,1544.44444444444,769.052692614337,4.09999990463257,1085.2149017902398
Sierra Leone,SLE,Sub-Saharan Africa,40.632894495879505,3.28708474921152,44.4015770678604,4.91692267779021,5.19500017166138,-8.68560535151083
Serbia,SRB,Europe & Central Asia,533.350164254148,93.2715994932306,448.48223156878504,129.051445620681,9.01000022888184,-44.18414300434299
Senegal,SEN,Sub-Saharan Africa,246.442345946566,37.533426474931595,207.961081188563,75.1854062364269,3.62299990653992,-36.7041414784237
Saudi Arabia,SAU,Middle East & North Africa,7001.17873253333,1997.632412,5013.05157587296,1842.30104655728,7.44999980926514,145.82677146666992
Rwanda,RWA,Sub-Saharan Africa,103.339914555443,16.675133084992098,94.82155260646401,25.345296801241897,1.48500001430511,-16.826934852262802
Russian Federation,RUS,Europe & Central Asia,14834.977848676,3071.7191203371804,10410.2217741097,3558.60697400593,5.59000015258789,736.3022485295697
Romania,ROU,Europe & Central Asia,2487.15551366635,468.963713477851,1988.67766258247,609.503298774741,5.03000020980835,-111.02544769085601
Qatar,QAT,Middle East & North Africa,1444.1136334526998,317.060233592904,692.194486820797,633.232333445093,0.214000001549721,118.68681318681404
Portugal,PRT,Europe & Central Asia,2285.39245045341,437.567036994772,1905.09982078737,428.56548083583,6.78999996185303,-48.27285116979004
Poland,POL,Europe & Central Asia,5966.24355719671,1145.41887837526,4531.86142523784,1029.08428853502,3.16000008583069,405.2978434238495
Philippines,PHL,East Asia & Pacific,3614.8932523073104,552.308923336687,3268.4265580257597,628.379648386117,2.51999998092651,-281.912954104554
Peru,PER,Latin America & Caribbean,2020.14363787233,323.279636041088,1635.24564365218,360.004578099516,7.17999982833862,24.893416120632935
Paraguay,PRY,Latin America & Caribbean,356.703014961061,44.7333499671708,270.07953355241904,71.9050713320119,7.55000019073486,14.71841007663
Panama,PAN,Latin America & Caribbean,539.770369951729,91.14312004469629,382.169680725699,129.864083171101,12.8540000915527,27.73660605492901
Pakistan,PAK,South Asia,2626.1000293850902,336.123885025293,2418.31816156746,402.51865005513605,4.30299997329712,-194.736782237501
Oman,OMN,Middle East & North Africa,739.7139141742521,205.34720416124802,531.20156046814,153.46684005201598,2.94000005722046,55.045513654096034
Norway,NOR,Europe & Central Asia,3621.9831843526,961.4900433666701,2554.58960969997,1097.81785998761,4.42000007629395,-30.423223294100037
North Macedonia,MKD,Europe & Central Asia,122.63710122764499,20.5934881418727,101.98192607532101,36.3354960725321,17.2000007629395,-15.680320920207691
Nigeria,NGA,Sub-Saharan Africa,4322.93776262398,376.42806431425794,3386.6702527500297,1270.8944445634,9.71399974822998,-334.62693468944906
Niger,NER,Sub-Saharan Africa,137.41378450136,21.4429592554371,115.93999760591801,42.911950492194,0.624000012874603,-21.438170304698197
Nicaragua,NIC,Latin America & Caribbean,126.21505382606199,20.121949443976902,108.104629594579,24.204693364704,6.07800006866455,-6.0945603210053925
New Zealand,NZL,East Asia & Pacific,2107.00848973509,423.472955519418,1650.97515766268,472.219490183585,4.59000015258789,-14.500099974600984
Netherlands,NLD,Europe & Central Asia,9138.65395789886,2371.5760468949497,6200.50295312064,1986.94150720623,3.8199999332428,951.2094975719898
Nepal,NPL,South Asia,336.57175561329,30.3167464022554,315.21468736232896,95.586465847055,4.72399997711182,-91.3015926215525
Namibia,NAM,Sub-Saharan Africa,106.191945053543,28.2114921066858,101.14974245746599,15.2963714443641,21.4459991455078,-10.254363584457497
Morocco,MAR,Middle East & North Africa,1147.25065285149,239.49119703479099,908.3838766742481,326.385729930082,11.4540004730225,-87.51895375284295
Montenegro,MNE,Europe & Central Asia,47.6986074074074,10.780695156695199,49.5236809116809,14.8754643874644,17.8999996185303,-16.700547008547
Mongolia,MNG,East Asia & Pacific,133.12981594573,21.0481479561757,101.55385192382201,29.7992423734661,7.01000022888184,3.3043510430386065
Moldova,MDA,Europe & Central Asia,119.155472626561,19.8594349201006,118.19028834054701,27.9224468635131,3.8199999332428,-26.9572625774982
Mexico,MEX,Latin America & Caribbean,10739.158808225,1379.2845152101902,8225.14067096102,2073.36639609785,4.44999980926514,231.0610297129303
Mauritius,MUS,Sub-Saharan Africa,109.20606197692801,20.1268714943236,100.211452490539,19.879838055857,7.40700006484985,-20.408977581461304
Mauritania,MRT,Sub-Saharan Africa,79.136802311828,10.1290394892473,55.1853610752688,33.0602576344086,11.2700004577637,-9.108816397849498
Malta,MLT,Middle East & North Africa,146.47384607604,31.774696016357296,98.0876454269936,34.3040056651524,4.26000022888184,14.082194983894997
Mali,MLI,Sub-Saharan Africa,174.653929159153,27.604794480755302,155.811470503105,29.9960524352573,7.69600009918213,-11.153593777472
Maldives,MDV,South Asia,37.4276996742798,8.47491512420927,27.4779271583026,17.0392702177319,6.32800006866455,-7.0894977017548015
Malaysia,MYS,East Asia & Pacific,3370.0606637326,437.832758415606,2487.9291066968,665.022005471631,4.50400018692017,217.10717259427003
Madagascar,MDG,Sub-Saharan Africa,130.560799823887,23.9206775677439,124.217976863651,23.8171191432411,2.47399997711182,-11.389415214942304
"Macao SAR, China",MAC,East Asia & Pacific,255.86111076341498,65.4529296166026,184.563968406954,65.4078682204504,2.5699999332428,5.889274136009998
Luxembourg,LUX,Europe & Central Asia,733.531327937076,134.452701208094,359.53289557097395,131.298983531674,6.76999998092651,242.69944883442994
Lithuania,LTU,Europe & Central Asia,565.4695747549121,104.702444568498,436.792045512888,76.1697347151597,8.48999977111816,52.507783104903034
Lebanon,LBN,Middle East & North Africa,317.352177845445,27.4351408313449,347.333329309924,17.8432955043384,13.2969999313354,-19.840772343817797
Latvia,LVA,Europe & Central Asia,337.073208163036,68.1971716088095,257.767402701339,75.3536584392376,8.10000038146973,3.9521470224590303
Kyrgyz Republic,KGZ,Europe & Central Asia,77.35976272759831,13.5959852971788,71.3573605255367,22.441105323243598,8.70600032806396,-15.725722309061698
"Korea, Rep.",KOR,East Asia & Pacific,16378.958027928998,2957.9989524393595,10561.7878616834,5218.50162903983,3.9300000667572,602.1228438543201
Kenya,KEN,Sub-Saharan Africa,1010.13726529063,128.677943237627,891.392624573982,198.694420333149,5.72900009155273,-80.78133748172839
Kazakhstan,KAZ,Europe & Central Asia,1710.82379532988,217.993920862238,1123.81851168159,487.910083295133,4.8899998664856,72.40980759809898
Jordan,JOR,Middle East & North Africa,436.97659295774696,80.5544774647887,463.148405633803,52.183960563380296,19.0259990692139,-78.35577464788801
Japan,JPN,East Asia & Pacific,50577.589587066395,10664.4575504051,37671.718444316204,12900.5421591294,2.79999995231628,-8.503896533800049
Jamaica,JAM,Latin America & Caribbean,138.124250365864,18.760231371855,123.993242639892,33.7095053187156,9.47999954223633,-19.578486371054495
Italy,ITA,Europe & Central Asia,18887.0944368748,3944.84838932297,14869.1043775191,3321.13735548172,9.15999984741211,696.8527038739306
Israel,ISR,Middle East & North Africa,4071.0073659406403,966.017152823405,2981.37219760804,900.389652838319,4.32999992370605,189.246694901996
Ireland,IRL,Europe & Central Asia,4258.88950992003,538.58760098411,1605.61070123088,1741.11914572444,5.61999988555908,948.6289110591192
"Iran, Islamic Rep.",IRN,Middle East & North Africa,2034.7130395234399,219.12309639320202,1211.48419041832,876.725965878865,12.168999671936,-117.23267276427804
Indonesia,IDN,East Asia & Pacific,10584.2383834514,983.1753583515,7224.54168285582,3425.84942441669,4.28000020980835,121.30406032325989
India,IND,South Asia,26602.4524886763,3324.23646480296,18909.593588696498,7788.57306013862,7.99700021743774,-144.88695403166017
Iceland,ISL,Europe & Central Asia,217.18075725205398,60.471450194209005,171.903234347982,46.8726199339448,5.48000001907349,-1.5950970298725033
Hungary,HUN,Europe & Central Asia,1558.08436238487,328.979566878429,1103.23349819803,428.33765516942805,4.25,26.513209017409974
"Hong Kong SAR, China",HKG,East Asia & Pacific,3465.8588150363503,440.55200330016,2745.8851131851698,656.8207600680661,5.82999992370605,63.15294178312012
Honduras,HND,Latin America & Caribbean,236.622316339139,35.432290518348196,228.517426661906,44.2983921709198,8.3730001449585,-36.193542891286604
Haiti,HTI,Latin America & Caribbean,145.082180174032,10.6084929294466,151.47858705006,25.6840278739508,15.451000213623,-32.080394714196004
Guinea-Bissau,GNB,Sub-Saharan Africa,14.317582429037499,2.36454674019174,14.047636777128,2.3977893329580597,6.73699998855591,-2.12784368104853
Guinea,GIN,Sub-Saharan Africa,156.81050917156298,20.2543710282033,107.23208765039101,31.6785495067892,6.10300016403198,25.1736549635215
Guatemala,GTM,Latin America & Caribbean,776.046321705853,89.5923979978372,738.143087293519,100.374821573109,3.55299997329712,-62.471588326328984
Greece,GRC,Europe & Central Asia,1888.3520162591,430.035373008437,1748.9320983465302,283.216365811892,16.2999992370605,-143.79644789931496
Ghana,GHA,Sub-Saharan Africa,685.322818056722,54.867711278303005,576.423796486588,133.586852256018,4.65100002288818,-24.687830655681992
Germany,DEU,Europe & Central Asia,38464.1392865371,8618.726289105081,28127.184546817203,8134.7892197043,3.80999994277954,2202.1655200156006
Georgia,GEO,Europe & Central Asia,158.464896108073,23.3145099505339,151.232781396783,37.8044438785806,18.5,-30.57232919839631
"Gambia, The",GMB,Sub-Saharan Africa,18.68086274822,1.62952170510876,16.853812592594,6.19757561400886,11.081000328064,-5.39710339658691
Gabon,GAB,Sub-Saharan Africa,153.168261915682,20.171288938577398,84.4955456526045,30.4750036727787,21.9720001220703,38.197712590299304
France,FRA,Europe & Central Asia,26303.1773145526,6594.14942010897,20571.2603151285,6263.278051268499,8.01000022888184,-531.3610518443603
Finland,FIN,Europe & Central Asia,2695.94831987549,659.949489789885,2038.76294466927,659.298438007784,7.76000022888184,9.080459066148071
Fiji,FJI,East Asia & Pacific,45.3388378227458,9.213297676134271,37.894526927333104,7.3747925119882,4.71500015258789,-7.365824419033599
Ethiopia,ETH,Sub-Saharan Africa,1076.4505431187602,98.1813402244748,851.3304014054311,331.03172844189703,3.23699998855591,-105.91158672857243
Eswatini,SWZ,Sub-Saharan Africa,39.7272894847088,9.0929528909613,35.2187795000698,5.09135607730278,25.5090007781982,1.0821929776627994
Estonia,EST,Europe & Central Asia,306.50285471721503,65.1436245311442,217.759973720234,92.6984546077668,6.80000019073486,1.478184516357994
Equatorial Guinea,GNQ,Sub-Saharan Africa,100.218567544944,29.1812342002175,98.0285301550126,5.32205435155258,9.90100002288818,-3.1320254243010996
El Salvador,SLV,Latin America & Caribbean,246.3872,47.7569,247.5204,44.1186,6.2480001449585,-45.2518
"Egypt, Arab Rep.",EGY,Middle East & North Africa,3652.52651278852,289.394884591391,3424.3293824079797,503.805364940736,9.16699981689453,-275.60823456019995
Ecuador,ECU,Latin America & Caribbean,988.0801,144.86205,742.08173,228.419,6.1100001335144,17.57937
Dominican Republic,DOM,Latin America & Caribbean,788.4470232907851,99.5541729692434,649.054317579103,200.120963016037,6.13000011444092,-60.728257304354
Denmark,DNK,Europe & Central Asia,3560.84867685639,878.148218004015,2514.7847048746,816.3596173440441,5.6399998664856,229.7044157797
Czech Republic,CZE,Europe & Central Asia,2453.39322066759,530.622462058789,1649.8624530110599,635.922060296636,2.54999995231628,167.6087073599002
Cyprus,CYP,Europe & Central Asia,246.12646487721298,49.158195316961695,205.92740148486598,46.4321530553969,7.59000015258789,-6.233089663048973
Cuba,CUB,Latin America & Caribbean,1073.52,417.04,960.49,106.01,2.62400007247925,7.02
Croatia,HRV,Europe & Central Asia,572.037832030259,137.004037037989,473.928620113188,136.767827243058,7.51000022888184,-38.65790352262798
Cote d'Ivoire,CIV,Sub-Saharan Africa,613.485794651017,65.3323857651159,471.041734119662,135.770708663866,3.48799991607666,6.673351867488003
Costa Rica,CRI,Latin America & Caribbean,618.468951207808,109.692843326434,505.539273457678,102.44684660521999,17.4099998474121,10.482831144907989
"Congo, Rep.",COG,Sub-Saharan Africa,101.871223414051,17.4929550058549,76.0344240478399,27.4680065185741,22.8430004119873,-1.6311897787646008
